review,label,Predicted_Label
review,0,0
great price bought brother sale,1,1
good quality shirt purchased brother liked much fitting also perfect,1,1
like fabric smooth shirt feel like premium segment look like golf player,1,1
absolutely stunning fit pop colour ha remain year regular use recommended,1,1
product wa good never disappoint ordered lp product myntra,1,1
material awesome summer length wise little bit longer alter easily nice fabric true size used wear ordered,1,1
good shirt bought brother cloth material soft size according measurement mentioned,1,1
purchased boyfriend valentine day made customized loved thank myntra,1,1
amazing product got great deal brand say lot quality happy buy,1,1
soft cool,1,1
worth buying,1,1
fabric stretchable go one size less usual,1,1
fitting colour satisfactory fabric quality good,0,0
nice fabric,1,1
nice fitting,1,1
shirt soft silky best summer,1,1
product bad quality packing also bad quality,0,0
nice,1,1
premium budget friendly tshirt,1,1
nice fabric,1,1
soft cool,1,1
worth buying,1,1
fabric stretchable go one size less usual,1,1
nice,1,1
good,1,1
good,0,1
quality really good light soft stretch well worth money,1,1
comfortable soft,1,1
nice feel good look,1,1
good,1,1
nice fabric comfortable,1,1
good,1,1
good,1,1
quality good,1,1
fitting colour satisfactory fabric quality good,0,0
nice fabric,1,1
nice fitting,1,1
shirt soft silky best summer,1,1
product bad quality packing also bad quality,0,0
nice,1,1
premium budget friendly tshirt,1,1
nice fabric,1,1
soft cool,1,1
worth buying,1,1
fabric stretchable go one size less usual,1,1
nice,1,1
good,1,1
good,0,1
quality really good light soft stretch well worth money,1,1
comfortable soft,1,1
nice feel good look,1,1
good,1,1
nice fabric comfortable,1,1
good,1,1
good,1,1
quality good,1,1
stylish classy,1,1
good product quality,1,1
perfect fit,1,1
classic polo shirt authentic item,1,1
nice fitting,1,1
airismmm light weight stunning tshirt,1,1
good quality material,1,1
soft stuff value money,1,1
good product,1,1
wow,1,1
upto mark,0,0
great tshirt,1,1
review,0,0
fabric ultra soft comfortable look good,1,1
look good shown myntra app product quality good wash fabric seems loosen,0,0
extremely comfortable polo shirt bit thine going without vest innerwear mistake undoubtedly comfortable ride semi formal casual look,1,1
original brand product quality good somehow time return reason returned product cheat branded product least otherwise public trust anymore,0,1
texture nice soft stick body quality colour look nice bright saw bought received price awesome,1,1
material awesome summer length wise little bit longer alter easily nice fabric true size used wear ordered,1,1
quality shirt awsome material soft issue little transparent,1,1
ordered size polo shirt received xxl size ordered size received xxl really disappointed myntra wa husband birthday gift gone,0,0
perfect quality perfect fitting best product using year even color fade look old best tshirt bought myntra till,1,1
fabric mark colour also stable many wash size might short compare brand,1,1
good shirt bought brother cloth material soft size according measurement mentioned,1,1
premium budget friendly tshirt,1,1
worth buying,1,1
fitting colour satisfactory fabric quality good,0,0
nice fabric,1,1
product bad quality packing also bad quality,0,0
nice,1,1
soft cool,1,1
fabric stretchable go one size less usual,1,1
nice fitting,1,1
shirt soft silky best summer,1,1
nice fabric,1,1
quality good,1,1
nice fabric comfortable,1,1
good,0,1
good,1,1
good,1,1
good,1,1
nice feel good look,1,1
quality really good light soft stretch well worth money,1,1
comfortable soft,1,1
good,1,1
nice,1,1
premium budget friendly tshirt,1,1
worth buying,1,1
fitting colour satisfactory fabric quality good,0,0
nice fabric,1,1
product bad quality packing also bad quality,0,0
nice,1,1
soft cool,1,1
fabric stretchable go one size less usual,1,1
nice fitting,1,1
shirt soft silky best summer,1,1
nice fabric,1,1
quality good,1,1
nice fabric comfortable,1,1
good,0,1
good,1,1
good,1,1
good,1,1
nice feel good look,1,1
quality really good light soft stretch well worth money,1,1
comfortable soft,1,1
good,1,1
nice,1,1
soft stuff value money,1,1
upto mark,0,0
great tshirt,1,1
airismmm light weight stunning tshirt,1,1
nice fitting,1,1
good quality material,1,1
good product,1,1
wow,1,1
perfect fit,1,1
stylish classy,1,1
good product quality,1,1
classic polo shirt authentic item,1,1
premium budget friendly tshirt,1,1
worth buying,1,1
fitting colour satisfactory fabric quality good,0,0
nice fabric,1,1
product bad quality packing also bad quality,0,0
nice,1,1
soft cool,1,1
fabric stretchable go one size less usual,1,1
nice fitting,1,1
shirt soft silky best summer,1,1
nice fabric,1,1
quality good,1,1
nice fabric comfortable,1,1
good,0,1
good,1,1
good,1,1
good,1,1
nice feel good look,1,1
quality really good light soft stretch well worth money,1,1
comfortable soft,1,1
good,1,1
nice,1,1
soft stuff value money,1,1
upto mark,0,0
great tshirt,1,1
airismmm light weight stunning tshirt,1,1
nice fitting,1,1
good quality material,1,1
good product,1,1
wow,1,1
perfect fit,1,1
stylish classy,1,1
good product quality,1,1
classic polo shirt authentic item,1,1
nice,1,1
lp ha great quality perfect fit specially slim fit,1,1
nice shirt,1,1
love fabric,1,1
good,1,1
good quality shirt purchased brother liked much fitting also perfect,1,1
nice comfortable,1,1
good fit nice product,1,1
good one,1,1
nice relaxed fit,1,1
nice,1,1
wash tshirt wa boingy,0,1
perfect fit great fabric,1,1
nice product,1,1
amazing,1,1
suited well,1,1
good stuff loved,1,1
product wa good rerurn due size issue,0,0
good,1,1
nice,1,1
nice colour fabric,1,1
nice fabric summer size fit also right,1,1
amazing fitting quality,1,1
great,1,1
comfortable stylish,1,1
fitting wa loose return product chest size wa good stomach fitting wa loose,0,0
must go superb quality,1,1
top quality,1,1
really good product,1,1
great product love,1,1
tshirt quality superb,1,1
good quality,1,1
amazing quality fit fabric comfortable must buy shirt,1,1
loved,1,1
awesome quality,1,1
nice fit,1,1
perfect fit superb quality,1,1
good product,1,1
nice,1,1
nice,1,1
perfect,1,1
soft loved quality product amazing fit go loved,1,1
price great product,1,1
good,1,1
bit big long,0,0
good,1,1
nice,1,1
look good,1,1
nice tshirt,1,1
excellent product,1,1
loved,1,1
great fit,1,1
gud,1,1
good,1,1
nice product,1,1
great quality,1,1
good,1,1
comfortable luxurious feel,1,1
shown perfect tshirt,1,1
nice product,1,1
great product comfortable material,1,1
nice fabric quality,1,1
product wa absolutely good great quality perfect fitting soft light fabric,1,1
nice,1,1
classy black tshirt love,1,1
size large expected,0,0
superb,1,1
great product,1,1
excellent tshirt soft fabric,1,1
perfect fitting comfort,1,1
good quality good material,1,1
clothing feel good required happy purchase,1,1
shown image colour little dull,0,0
good quality,1,1
soothing color fabric believe review purchase,1,1
nice fabric,1,1
simple classy polo,1,1
awesome fit,1,1
amezing product,1,1
bit loose quality nice,1,1
nice fabric fitting issue,0,0
quality bad thread come shirt,0,0
absolutely stunning fit pop colour ha remain year regular use recommended,1,1
great product,1,1
nice,1,1
overall good product,1,1
nice product good quality comfortable,1,1
good,0,1
like fitting,0,0
good,1,1
great,1,1
size fit material good overall nice product,1,1
quality could better,0,0
classic shirt best price,1,1
discolour month,0,0
amazing product got great deal brand say lot quality happy buy,1,1
fabric thread aspected,0,0
best best best quality thank myntra,1,1
good,1,1
good,1,1
nice,1,1
nice,1,1
nice fit,1,1
material super comfortable nice fitting,1,1
good,1,1
size fit properly,0,0
ok,0,0
perfect,1,1
polo tshirt,0,0
ok ok,0,0
good,1,1
nice,1,1
great,1,1
good,1,1
best tee best brand,1,1
nice fabric,1,1
good daily use,1,1
good tee,1,1
good,1,1
material awesome summer length wise little bit longer alter easily nice fabric true size used wear ordered,1,1
nice,1,1
good buy,1,1
like,1,1
amazing quality,1,1
amazing quality,1,1
nice,1,1
poor quality,0,0
nice,1,1
perfect quality perfect fitting best product using year even color fade look old best tshirt bought myntra till,1,1
good one,1,1
always best choice,1,1
average,0,0
size issue quality okay,0,0
good,1,1
cotton shirt nice fitting,1,1
material quality fabulous smooth,1,1
nice smooty fabric,1,1
good,1,1
comfortable nice color,1,1
happy,1,1
nice,1,1
nice fit look,1,1
nice,1,1
good one,1,1
nice love,1,1
right size,1,1
nice color bit loose,1,1
loose,0,0
happy,1,1
nice,1,1
loved,1,1
bright,0,1
size bigger given size chart,0,0
good,1,1
confused quality orginal lp,0,0
excellent,1,1
shirt would good choice daily wear well function,1,1
gud,1,1
nice,1,1
beautiful colour awesome fit,1,1
good look loose fit,1,1
good,1,1
perfect,1,1
awesome polo shirt,1,1
good,1,1
excellent product,1,1
origional product,1,1
nice,1,1
cool,1,1
good one,1,1
nice,1,1
fine,0,0
good quality,1,1
excellent,1,1
excellent,1,1
nice,1,1
great product,1,1
nice stuff,1,1
mandatory,0,1
nice,1,1
good,1,1
poor quality,0,0
good,1,1
soft material ligjtwieght material,1,1
good,0,1
nice,1,1
fabric mark colour also stable many wash size might short compare brand,1,1
review,0,0
nice product good quality comfortable,1,1
shirt evolved fashion staple make statement serve comfortable basic piece wardrobe recent review highlight top pick breathable fabric variety cut color making versatile choice different occasion style budget bella canvas unisex jersey tee stand inclusive sizing decent quality affordable price whether dressing keeping casual shirt perfect fit style need,1,1
recently purchased shirt online thrilled fitting perfect cotton fabric feel incredibly comfortable skin quality top notch exactly wa hoping highly recommend anyone search well fitting shirt excellent fabric quality,1,1
shirt ha great fit feel really comfortable fabric soft breathable making perfect day wear design stylish yet versatile making easy dress different occasion overall fantastic addition wardrobe,1,1
first roadstar good company especially clothes shirt purchased light blue jean shirt fit well found shirt quality excellent every time wear shirt increase quality dressing sense,1,1
great shirt soft comfortable fabric versatile design work casual formal wear fit perfect true size quality excellent price definitely solid buy highly recommend,1,1
loved denim shirt actual product shown picture need think purchasing go wear casually formally,1,1
beautiful shirt great quality basically denium shirt,1,1
good quality,1,1
shift quality good colour go boot outfit great choice go,1,1
good,1,1
nice shirt,1,1
review,0,0
shown picture pure cotton,1,1
good quality product material like kurta,1,1
nice,1,1
superb pure cotton bandhani print length fitting upto mark,1,0
good quality product material like kurta,1,1
nice,1,1
shown picture pure cotton,1,1
